,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Make,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Age,KM_Per_Year
52,54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,82.0,5.0,3.6,Hyundai,0,1,0,1,11,4909.09
53,55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,3.99,Volkswagen,0,1,0,1,11,3545.45
54,56,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,3.3,Renault,0,1,0,1,9,1838.0
55,57,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,2.07,Hyundai,0,1,0,1,16,2000.0
56,58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,13.286,1995.0,147.6,5.0,7.75,Nissan,1,0,1,0,16,7613.25
57,59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,2.25,Maruti,0,1,0,1,16,2456.25
58,60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,16.5,Toyota,1,0,0,1,9,2444.44
59,61,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,68.0,5.0,2.75,Ford,1,0,0,1,16,4500.0
60,62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,186.0,5.0,26.7,Mercedes-Benz,0,1,1,0,11,5272.73
61,63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,170.0,5.0,10.0,Mercedes-Benz,1,0,0,1,15,4333.33
62,64,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,2.5,Tata,1,0,0,1,10,17800.0
63,65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,140.0,5.0,13.5,Audi,1,0,1,0,14,4690.29
64,66,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,78.0,5.0,1.85,Honda,0,1,1,0,19,3315.79
65,67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,14.21,1950.0,194.0,5.0,35.67,Mercedes-Benz,1,0,1,0,7,2195.57
66,68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,8.15,Maruti,1,0,0,1,10,6300.0
67,69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,10.5,Hyundai,1,0,0,1,8,1625.0
68,70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,500.0,5.0,14.5,Porsche,0,1,1,0,18,4055.56
69,71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,140.0,7.0,9.65,Mahindra,1,0,0,1,11,5066.27
70,72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,3.48,Hyundai,0,1,1,0,14,3227.0
71,73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,6.92,Nissan,1,0,0,1,11,5096.91
72,74,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,6.46,Honda,0,1,1,0,10,3730.0
73,75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,29.5,Audi,1,0,1,0,12,4666.67
74,77,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,132.0,8.0,4.5,Toyota,0,1,0,1,20,11500.0
75,78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,102.0,7.0,11.75,Toyota,1,0,0,1,14,7428.57
76,80,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,3.75,Maruti,1,0,0,1,14,6792.86
77,81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,4.5,Tata,0,1,0,1,9,7777.78
78,82,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,4.82,Honda,0,1,0,1,10,5494.4
79,83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,68.0,5.0,2.8,Ford,1,0,0,1,14,5024.07
80,84,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,3.11,Maruti,1,0,0,1,13,7664.46
81,85,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,3.25,Honda,0,1,0,1,17,3058.82
82,86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,218.0,5.0,13.9,BMW,1,0,1,0,15,5000.0
83,87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,2.25,Hyundai,0,1,0,1,17,5645.88
84,88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,82.0,5.0,5.75,Hyundai,0,1,0,1,10,1600.0
85,90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,5.0,Honda,0,1,0,1,10,1894.9
86,91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,16.5,Toyota,1,0,0,1,12,8916.67
87,92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,39.58,Audi,1,0,1,0,8,6045.88
88,93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,5.5,Ford,1,0,0,1,13,4384.62
89,94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,140.0,7.0,8.1,Mahindra,1,0,0,1,12,4833.33
90,95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,3.5,Honda,1,0,0,1,11,2727.27
91,96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,2.79,Volkswagen,1,0,0,1,13,2631.69
92,97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,110.0,5.0,3.45,Hyundai,1,0,0,1,16,4375.12
93,98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,4.45,Maruti,0,1,0,1,10,6200.0
94,99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,2.65,Volkswagen,0,1,0,1,16,3875.06
95,100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,3.8,Hyundai,1,0,0,1,15,5263.87
96,101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,4.65,Hyundai,0,1,0,1,12,2515.0
97,102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,67.0,7.0,3.95,Datsun,0,1,0,1,9,3650.11
98,103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,9.8,Audi,1,0,1,0,16,1875.0
99,104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,80.0,5.0,2.7,Hyundai,0,1,0,1,17,3882.35
100,105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,35.0,5.0,2.41,Maruti,0,1,0,1,16,5865.62
101,106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,3.9,Toyota,0,1,0,1,12,4416.67
102,107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,24.0,Jaguar,1,0,1,0,15,5200.0
103,108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,140.0,7.0,5.75,Mahindra,1,0,0,1,14,4642.86
104,109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,5.25,Hyundai,1,0,1,0,12,3333.33
105,110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,19.25,Toyota,1,0,1,0,9,3333.33
106,111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,73.0,5.0,3.91,Maruti,0,1,0,1,9,4228.11
107,112,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,2.15,Tata,0,1,0,1,12,2125.0
108,113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,20.75,BMW,1,0,1,0,11,5098.82
109,114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,130.0,5.0,3.35,Honda,0,1,0,1,16,4443.0
110,115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,11.11,Toyota,1,0,0,1,12,4583.33
111,116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,20.0,Volvo,1,0,1,0,12,2725.0
112,117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,6.55,Nissan,0,1,1,0,10,3988.2
113,118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,215.0,5.0,7.0,BMW,0,1,1,0,17,7529.41
114,119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,7.5,Maruti,1,0,0,1,10,5500.0
115,121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,16.75,Mercedes-Benz,1,0,1,0,12,4479.42
116,122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,10.95,Hyundai,1,0,0,1,8,1281.25
117,123,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,2.45,Maruti,0,1,0,1,15,2924.93
118,124,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,3.23,Tata,0,1,1,0,9,3631.56
119,125,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,120.0,8.0,7.75,Mahindra,1,0,0,1,12,3500.0
120,126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,178.0,5.0,9.35,Mercedes-Benz,0,1,1,0,17,1667.76
121,128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,152.0,5.0,5.25,Honda,0,1,0,1,19,2510.53
122,129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,7.25,Volkswagen,1,0,1,0,11,5000.0
123,130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,7.47,Maruti,0,1,0,1,9,4920.56
124,131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,140.0,7.0,13.25,Mahindra,1,0,1,0,10,5400.0
125,132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,5.81,Maruti,0,1,0,1,10,3023.2
126,133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,2.6,Maruti,0,1,0,1,12,7375.0
127,134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,54.0,Mercedes-Benz,0,1,1,0,9,1485.78
128,135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,11.5,Hyundai,0,1,1,0,7,1806.43
129,136,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,1.6,Maruti,0,1,0,1,16,5899.06
130,137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,17.22,BMW,1,0,1,0,11,2892.82
131,138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,6.0,Honda,0,1,1,0,11,1090.91
132,139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,130.0,5.0,3.95,Honda,0,1,0,1,14,6327.0
133,140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,170.0,5.0,17.95,Mercedes-Benz,1,0,1,0,12,3747.08
134,141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,3.7,Honda,1,0,0,1,12,3753.67
135,142,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,5.43,Maruti,0,1,0,1,10,3420.4
136,144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,171.0,7.0,13.49,Toyota,1,0,0,1,14,6516.79
137,145,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,2.85,Chevrolet,0,1,0,1,12,3233.33
138,146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,4.75,Skoda,1,0,0,1,13,6384.62
139,147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,9.9,Maruti,0,1,0,1,8,5160.38
140,148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,37.0,Audi,0,1,1,0,13,1769.23
141,149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,26.5,BMW,1,0,1,0,12,4000.0
142,150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,23.32,Audi,1,0,1,0,11,4383.09
143,151,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,6.25,Maruti,1,0,0,1,10,3500.0
144,152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,30.0,Mercedes-Benz,0,1,1,0,16,2204.81
145,153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,9.86,Skoda,1,0,1,0,10,5462.0
146,154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,8.5,Skoda,1,0,1,0,14,9785.5
147,155,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,4.23,Hyundai,0,1,0,1,7,2046.0
148,156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,3.5,Volkswagen,1,0,0,1,14,4688.14
149,157,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,2.5,Datsun,0,1,0,1,10,600.0
150,158,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,2.39,Honda,0,1,0,1,13,2560.0
151,159,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,11.25,Mercedes-Benz,0,1,1,0,13,2230.77
152,160,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,7.11,Honda,1,0,0,1,11,3893.73
153,161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,10.9,Toyota,1,0,0,1,10,9000.0
154,162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,6.2,Maruti,0,1,0,1,9,2667.22
155,163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,140.0,7.0,7.9,Mahindra,1,0,0,1,14,2342.29
156,164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,4.42,Ford,1,0,0,1,12,12324.83
157,165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,13.5,Toyota,1,0,0,1,14,9411.79
158,166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,6.25,Volkswagen,1,0,1,0,13,5000.0
159,167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,68.0,5.0,2.1,Ford,1,0,0,1,16,4132.69
160,168,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,258.0,5.0,45.0,BMW,1,0,1,0,11,3727.27
161,169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,33.66,Mercedes-Benz,1,0,1,0,9,2616.67
162,170,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,3.65,Honda,0,1,0,1,14,3214.29
163,171,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,2.75,Hyundai,0,1,0,1,13,4615.38
164,172,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143.0,170.0,5.0,42.5,Mercedes-Benz,1,0,1,0,10,4441.4
165,173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197.0,81.86,5.0,6.5,Hyundai,0,1,0,1,7,142.86
166,174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968.0,174.33,5.0,19.0,Audi,1,0,1,0,14,4464.29
167,175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598.0,103.6,5.0,4.45,Volkswagen,0,1,1,0,13,1615.38
168,176,Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998.0,112.0,5.0,23.0,Mini,1,0,1,0,9,947.22
169,177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,8.35,Hyundai,1,0,0,1,12,2416.67
170,178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968.0,174.33,5.0,22.95,Audi,1,0,1,0,12,3333.33
171,179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,1.5,Chevrolet,1,0,0,1,14,6285.71
172,180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798.0,157.75,5.0,6.89,Skoda,0,1,1,0,14,3824.07
173,181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399.0,68.0,5.0,1.45,Ford,1,0,0,1,20,10800.0
174,182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,190.0,5.0,33.5,BMW,1,0,1,0,12,4250.0
175,183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598.0,102.5,5.0,1.25,Chevrolet,0,1,0,1,19,6236.84
176,184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,4.2,Volkswagen,1,0,0,1,14,4500.0
